[448] Bridge Seismic Retrofits # | pub=City of Seattle | cols: Month, Accumulated number of vulnerable bridges seismically retrofitted with Move Seattle dollars
[449] Rapid Ride 2016 July Avg. Of All | pub=City of Seattle | cols: Month, Avg. Headway Adherence of all Seattle RapidRide Routes (C, D, & E lines)
[450] Trees Pruned | pub=City of Seattle | cols: Accumulated number of trees pruned, Month
[451] 2016 Q4 Streetcar System Data | pub=City of Seattle | cols: First Hill Streetcar Ridership (avg. daily boardings), Total Streetcar System Ridership (avg. daily boardings), South Lake Union Streetcar Ridership (avg. daily boardings), Date
[452] 5 - Signal Major Maintenance | pub=City of Seattle | cols: Accumulated number of signals undergoing major maintenance, Month
[453] Dummy 2016 Spend | pub=City of Seattle | cols: Month, 2016 Move Seattle levy money spent to date ($M)
[454] TEST Q4 2015 Update SAS Companion Animal Save Rate | pub=City of Seattle | cols: Date, %, Quarter
[455] City Wide Bike Network | pub=City of Seattle | cols: % of citywide bike network completed, Month
[456] Sidewalks Repaired-2 | pub=City of Seattle | cols: Accumulated number of sidewalk blocks repaired, Month
[457] Protected Bike Lanes-4 | pub=City of Seattle | cols: Month, Accumulated miles of protected bike lanes built
[458] 2 - New Sidewalks Built (2016 Final) | pub=City of Seattle | cols: Accumulated number of new sidewalk blocks built , Month
[459] Cumulative Levy Spending ( April 2016) | pub=City of Seattle | cols: Cumulative Move Seattle levy spending to date ($M), Month
[460] Transit Spot Improvements | pub=City of Seattle | cols: Month, Accumulated number of transit spot improvements
[461] 2014-2015 Find It Fix It - Reports By District | pub=City of Seattle | cols: North West, East, West, Week Beginning, South East, South West, North East
[462] 3 - # Of Bridges With Retrofits (2016 Final) | pub=City of Seattle | cols: Accumulated number of vulnerable bridges seismically retrofitted with Move Seattle dollars, Month
[463] Res Burg 12 Mo. Rolling AVG-2 | pub=City of Seattle | cols: Month & Year, 12mth Rolling AVG, Total
[464] In- Lane Bike Lanes | pub=City of Seattle | cols: Accumulated miles of in-lane bike lanes built, Month
[465] Paved Lane Miles AMM | pub=City of Seattle | cols: Month, Accumulated number of Lane Miles Paved (Arterial Major Maintenance) in 2016
[466] Rapid Ride 2016 May Avg. Of All | pub=City of Seattle | cols: Avg. Headway Adherence of all Seattle RapidRide Routes (C, D, & E lines), Month
[467] Q3 2016 Update CSB 3 Day Response | pub=City of Seattle | cols: Days, Quarter
[468] Increase In Traveler Miles On Fair Or Better Pavement Data TM-2 | pub=City of Seattle | cols: % increase in traveller miles on pavement in fair or better condition due to Move Seattle, Month
[469] Freight Spot Improvements-3 | pub=City of Seattle | cols: Accumulated number of freight spot improvements, Month
[470] Q2 2016 Initial Update For Electric Vehicle Usage Goal Final | pub=City of Seattle | cols: % , Quarter, Date
[471] 3 B - Arterial Lane Re- Striping | pub=City of Seattle | cols: Accumulated number of arterial lane miles re-striped, Month
[472] Safety Corridor Projects | pub=City of Seattle | cols: Month, Accumulated number of Safety Cooridor Projects Constructed in 2016
[473] Rapid Ride 2016 May D Line | pub=City of Seattle | cols: Month, RapidRide D Line Headway Adherence
[474] 2 - Repave 180 Miles Of Arterials (2016 Final) | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AAC program
[476] Transit Accessibility Data TM-4 | pub=City of Seattle | cols: Year, % of households within a 10-minute walk of a bus running every 10 minutes of better during peak periods
[477] Housing Levy - Permanently Affordable Homeownership Development | pub=City of Seattle | cols: Year, Homes awarded funding for development
[478] Pothole Repair Efficiency 2016 August Data TM-3 | pub=City of Seattle | cols: Month, % of Potholes Repaired within 3 Business Days
[479] Bus Ridership ( In- Seattle - 2016 09) | pub=City of Seattle | cols: In-Seattle Bus Ridership (Avg. Weekday Boardings), Reporting Period
[480] 3 - Arterial Lane Re- Striping (2016 Final) | pub=City of Seattle | cols: Month, Accumulated number of arterial lane miles re-striped
[481] Accumulated Neighborhood Project Spending By Year-2 | pub=City of Seattle | cols: Year, Accumulated Move Seattle dollars spent on neighborhood-selected projects ($M)
[482] 1 - Safe Routes To School Projects 9-year (2016 Final) | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects (2016-2024), Month
[483] Transit Accessibility Data (2016 Final) | pub=City of Seattle | cols: % of households within a 10-minute walk of a 10-minute or more frequent bus (during peaks), Month
[484] Signal spot improvements | pub=City of Seattle | cols: Accumulated number of signal spot improvements implemented in 2016, Month
[485] 6 - Stairway Rehabilitation (2016 Final) | pub=City of Seattle | cols: Accumulated number of major stairways rehabilitated with Move Seattle dollars, Month
