[340] New Signals | pub=City of Seattle | cols: Month, Accumulated number of new signals built
[341] Dummy 2016-2024 Levy Baseline | pub=City of Seattle | desc: 9-year baseline spend path | cols: 2016-2024 Move Seattle levy spending target ($M), Month
[342] Pothole Repair Efficiency 2015 Q4 Data TM | pub=City of Seattle | cols: Month, % of Potholes Repaired within 3 Business Days
[343] CP Rolling AVG for graph | pub=Seattle Police Department | cols: 12mth Rolling Avg, Total, Month & Year | tags: crime, data, spd, car prowls
[344] 10 28  Consultant Purchasing Joint | pub=City of Seattle | cols: Purchasing WMBE Dollar , SDOT Consulting & Purchasing Total , Year , Purchasing Total , Consultant WMBE Percentage Utilization  , Consultant WMBE Dollar , Consultant Total , Purchasing WMBE Percentage Utilization  
[345] Police Reported Collisions2015 | pub=City of Seattle | cols: Year, Police-Reported Collisions in Seattle
[346] Employee Safety ( Frequency) Data-3 | pub=City of Seattle | cols: Incident Frequency - Number of Recordable Incidents per 100 Full-Time Employees per Year, Year
[347] 2 - Trees Pruned 2016 Final | pub=City of Seattle | cols: Accumulated number of trees pruned, Month
[348] Streetcar (non-rolling Q1 2015) | pub=City of Seattle | cols: Month, South Lake Union Street Car Ridership (Monthly Avg. Riders per Revenue Hour)
[349] Curb Ramps Built Or Improved-2 | pub=City of Seattle | cols: Month, Accumulated number of curb ramps built or improved
[350] Lane Miles Paved AAC | pub=City of Seattle | cols: Accumulated number of Lane Miles Paved (AAC) in 2016, Month
[351] 6 - Traffic Signal Spot Improvements (2016 Final) | pub=City of Seattle | cols: Accumulated number of traffic signal spot improvement projects completed, Month
[353] Data Center Services Lo S Rollup | pub=City of Seattle | desc: Data Center Service Tile | cols: PctServiceOffGreen, Service Type, Date, # of tickets
[355] Digital Equity Goal Tile | pub=City of Seattle | cols: Month, # of devices connecting, % change, End of Month
[356] Potholes (total Number Repaired) 2015 Q2 Data | pub=City of Seattle | cols: Month, Number of Potholes Repaired
[357] Project Delivery Data TM | pub=City of Seattle | cols: % levy-funded projects delivered on time and on budget, Month
[359] Pedestrian Count Data (2016) | pub=City of Seattle | cols: Annual Pedestrian Count Volumes, Year
[361] Bicycle Data (2015) | pub=City of Seattle | cols: Year, Annual Percentage Increase Since 2011
[362] Safe Routes To School Projects (2016)-4 | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed in 2016, Month
[363] Bridge Maintenance Backlog-3 | pub=City of Seattle | cols: Existing bridge maintenance backlog (# of remaining bridge repairs), Month
[364] Priority Bridges Improvement Data TM-2 | pub=City of Seattle | cols: % of high priority bridges that have undergone seismic retrofits, Month
[365] Regulatory Signs Replaced-2 | pub=City of Seattle | cols: Month, Accumulated number of regulatory signs replaced
[366] Urban Forest Inventory Data 2016 Final | pub=City of Seattle | cols: Month, Accumulated % of urban forest inventoried and maintained
[368] Construction Permits Wait Timedata2015-08 | pub=City of Seattle | cols: Month, Avg. Monthly Construction Permit Wait Time (Minutes)
[369] Construction Permits Wait Times 2016 May | pub=City of Seattle | cols: Avg. Monthly Construction Permit Wait Time (Minutes), Month
[370] Streetcar(rolling12month Q4 2015) | pub=City of Seattle | cols: Month, South Lake Union Street Car Ridership (Rolling 12-month Avg. - Riders per Revenue Hour)
